review_id,App_Name,user_name,review_description,rating,thumbs_up,review_date,developer_response,developer_response_date,appVersion,laguage_code,country_code
38951a73-df5b-4b27-bb74-66000786fc90,Ada Health,Geoff Strachan,Very useful app and easy to use,4,0,2023-11-05 14:03:55,,,3.38.0,en,us
afd9bbe2-6d64-4719-b63b-07e8f973bb6b,Ada Health,Megan Olsen,"It wasn't an awful app, by any means. However, I would maybe consider adding to it a bit more, as some symptoms weren't available. Also, maybe a few more follow-up questions, as well - maybe explore family medical history with some questions pertaining to that in the very beginning.. just ideas, is all! Overall, I would definitely still recommend. It does list several possibilities, with pretty decent explanations attached to each one. It doesn't take forever to complete, either.",4,0,2023-11-05 06:49:31,,,3.38.0,en,us
09eafb02-fc11-4304-9d5b-863ed659cfd6,Ada Health,Sherry York,I think this could be a very useful tool. I actually input symptoms related to a couple of actual Diagnoses I have and Ada came up with the exact diagnosis!,5,0,2023-11-04 17:44:28,,,3.38.0,en,us
8ec5588a-13a2-4374-b50e-ee704d10f289,Ada Health,Omolara Akingbola,It was a wonderful experience with Ada,5,0,2023-11-04 16:03:09,,,3.38.0,en,us
a7f26bd3-a562-4934-87f9-6842c0c2556a,Ada Health,Apio Immaculate,A nice app.gives you an idea of what may be the reason for your symptoms,5,0,2023-11-03 22:27:06,,,3.38.0,en,us
e1449c39-fe33-466b-8397-24a3cc0c8801,Ada Health,BlazeLee Babcock,Amazing and very much so a great app to use!!!,5,0,2023-11-03 21:37:12,,,,en,us
6dde98eb-c78c-466d-aac9-e632dabea7b0,Ada Health,Charlotte Wilton,"Helped me decide if I needed medical care or not. Very accurate and also helped me track symptoms, which is useful when I have several chronic conditions.",5,0,2023-11-03 08:06:40,,,3.38.0,en,us
efa47343-b1f6-4ead-b354-6e12a9a775d9,Ada Health,Sahar Kh,"4 because it is not perfect in the assessment, you don't always agree with one of the answers. Also too many updates.",4,0,2023-11-03 00:12:04,,,3.38.0,en,us
9c6a353e-ba09-44b7-9bc2-f8fe2bc3d9d0,Ada Health,E. L.,"Really nice interaction. Great, clear diagnostic suggestions with helpful statistical context. Great app.",5,0,2023-11-02 23:00:36,,,3.39.0,en,us
9402e206-ebbe-47bb-90e8-86ddb00fbe74,Ada Health,Kasey Marshall,Great assessment,5,0,2023-11-02 22:36:12,,,,en,us
56619aff-859a-4128-8493-67ac59660af9,Ada Health,yasir khan. Official,This is helpful,5,0,2023-11-02 19:38:17,,,3.38.0,en,us
3469b75d-08e4-42b1-96f4-4b0b6a0dc714,Ada Health,Alexandra Elias,Helped me every time. Very good app...much needed,5,0,2023-11-02 18:55:19,,,3.38.0,en,us
52bfe3ff-7880-4f57-9f0e-0162ad0c3a34,Ada Health,fatiha lawrence,Good assessment,5,0,2023-11-02 10:44:04,,,,en,us
17c53391-c5c9-4e3b-9ad2-40b69963f375,Ada Health,Cannon Fodder,"This can fairly accurately diagnose, but it would be nice for it to be able to sort out connected symptoms, and be able to diagnose something like depression alongside. A common cold. At the moment you need a good idea of what symptoms are connected, for example, if I were to put depression symptoms, such as low mood, not experiencing empathy, not caring about anything, alongside my flu symptoms, such as sore throat, and runny nose, I get diagnosed with the flu, but not depression as well.",4,1,2023-11-02 06:17:00,,,3.38.0,en,us
d1603675-8523-4711-9215-e2c330f83b80,Ada Health,Dean Savage,"Spot on,brilliant app.",5,0,2023-11-02 06:15:27,,,3.38.0,en,us
bbddfb09-0ee3-47a3-b85c-3d400d882707,Ada Health,TNV mobi,Needs more questioning and photos and blood test submission option for Ada to diagnose,2,0,2023-11-01 23:25:15,,,3.38.0,en,us
3bdffc19-5979-4e9a-ac5f-c5000ac35056,Ada Health,THOMAS L. ADCOCK,"Pretty detailed, gives the patient good ideas of what to have healthcare givers look for.",4,0,2023-11-01 17:50:56,,,3.38.0,en,us
a31b65e4-eafe-4cb4-ae28-2d1628f8a8d8,Ada Health,Amber Lovell,"Ada has always helped me. I do not put my trust completely but the app helps me rule out a lot of possibilities. Also, it helps me as well as people i know get an idea of what is happening.",5,0,2023-10-31 23:03:02,,,3.38.0,en,us
